day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2015,2,8,02/08/2015,34.5,29.9,1015.9,7.6,6,9.9,999.9,37.9,21.9,0,999.9,0,394
2,2019,2,5,02/05/2019,43,42.1,1014.2,3,4.8,9.9,999.9,50,34,0,999.9,1,570
2,2020,2,11,02/11/2020,44.1,42.8,1017.5,3.1,6,9.9,999.9,48.9,41,0.31,999.9,1,458
7,2014,2,9,02/09/2014,30.3,18.2,1018.7,10,4.9,9.9,999.9,37,21.9,0,999.9,0,450
1,2019,2,4,02/04/2019,39.7,36.7,1019.4,7.5,7.3,9.9,999.9,48.9,28,0,999.9,0,651
6,2015,2,28,02/28/2015,22.2,9.9,1037.3,10,7.2,11.1,15,28,16,0,999.9,0,538
5,2018,2,9,02/09/2018,28.3,17.3,1032.6,10,6.2,11.1,19,42.1,19.9,0.08,999.9,0,583
1,2020,2,24,02/24/2020,41.1,36.7,1018.9,8.9,7.7,11.1,999.9,50,28.9,0,999.9,1,493
2,2013,2,26,02/26/2013,35,26.7,1025.2,10,5,11.1,15.9,45,27,0.02,999.9,0,537
2,2018,2,6,02/06/2018,30,20.2,1026.9,10,4.8,11.1,999.9,46.9,19.9,0.12,999.9,0,545
5,2013,2,15,02/15/2013,38.6,33.2,1017,9.8,6,11.1,999.9,46.9,28,0,999.9,0,604
3,2015,2,4,02/04/2015,28.1,18.4,1024.9,10,7.6,12,999.9,39.9,14,0,999.9,0,585
2,2017,2,21,02/21/2017,37.1,26.6,1026.3,10,6.9,12,999.9,46,30,0,999.9,0,483
3,2017,2,22,02/22/2017,40.6,35.2,1018,9.7,7.8,12,999.9,46.9,32,0,999.9,0,477
7,2016,2,7,02/07/2016,38.7,30.1,1022.3,10,6.7,12,999.9,44.1,28,0,999.9,0,423
6,2014,2,8,02/08/2014,28.2,14.2,1023.9,10,8.6,12,19,32,21.9,0,999.9,0,424
2,2017,2,28,02/28/2017,44.2,39.9,1029.7,9,7.9,13,999.9,48.9,30,0,999.9,0,591
3,2015,2,18,02/18/2015,30.6,24.5,1010.4,10,8.8,13,999.9,36,16,0,999.9,0,626
3,2013,2,6,02/06/2013,34.8,30.4,1014.9,9,6.1,13,17.1,39.2,32,0.02,999.9,0,566
7,2014,2,23,02/23/2014,42,36.9,1015.4,9.5,9.1,13,999.9,46.9,34,0,999.9,0,414
2,2014,2,4,02/04/2014,32.5,26.2,1027.2,10,7.8,14,999.9,41,27,0.61,999.9,0,613
4,2015,2,12,02/12/2015,31,23.6,1009.5,8.9,9.5,14,999.9,35.1,27,0,999.9,0,526
1,2018,2,19,02/19/2018,38.1,35.4,1033.5,9.6,8.3,14,999.9,46.9,26.1,0.01,999.9,0,435
3,2019,2,20,02/20/2019,26.7,10.2,1034.1,10,7.7,14,18.1,30,19.9,0,999.9,0,615
5,2019,2,22,02/22/2019,38.3,26.1,1022.3,10,8.7,14,999.9,46,30.9,0.2,999.9,0,546
4,2013,2,28,02/28/2013,41.4,38.9,1002.1,7.2,7.8,14,999.9,46.9,39,0.32,999.9,1,517
2,2013,2,5,02/05/2013,28.7,16.6,1014.6,7.8,8.2,14,18.1,32,27,0,999.9,0,566
2,2016,2,2,02/02/2016,43.2,32.2,1021.5,10,6.5,14,999.9,52,34,0.07,999.9,0,711
1,2019,2,11,02/11/2019,30.7,14.4,1026.6,10,8.1,14,18.1,34,24.1,0,999.9,0,568
5,2017,2,3,02/03/2017,30.9,14,1020.2,10,9,14,19,44.1,26.1,0,999.9,0,609
3,2019,2,6,02/06/2019,39.1,31.5,1020.4,9.9,9.7,14,15.9,50,33.1,0,999.9,0,615
7,2019,2,17,02/17/2019,30.9,20.8,1016.9,10,7.6,14,22,46,25,0.01,999.9,0,439
3,2018,2,14,02/14/2018,36.9,34,1030.5,8.5,8.7,14,999.9,44.1,28,0,999.9,0,671
